Novel_Fam	0505-0101	R1W5
NOVPOBFB	9.522702	0
NOV9167Y	12.470418	0
NOVBZWFN	8.29831	0
NOVQRIX7	7.867627	0
NOVTJG58	8.47883	0
NOVCD17V	12.116841	0
NOVDD99C	12.116841	0
NOV2NUSG	4.878517	0
NOVTQ5G2	4.35741	0
NOV3H16V	16.489105	0
NOVLWJAW	7.2221546	4.9239087
NOV5O7KK	5.1156926	0
NOVIFXX9	6.3335967	0
NOVF7ZDD	138.75682	0
NOVQ0GU3	4.6458917	0
NOVJX7I9	12.772459	0
NOVOEH6U	3.5576174	0
NOVJRET7	6.0551963	0
NOVGXKHB	5.0671816	2.960138
NOVJD2X1	7.8090186	0
NOVC5P2C	3.483413	0
NOVGCVS7	4.7205276	0
NOV98XDN	2.598099	0
NOV999N1	9.391554	0
NOV0XS0B	10.286954	0
NOVCX08R	4.6156883	0
NOV935VQ	5.8365693	0
NOVFIBNA	3.9953744	37.15785
NOVX8MZQ	5.369963	0
NOV8147M	3.7758157	6.8187456
NOV4AILI	3.363295	0
NOV31HZ3	2.5929163	0
NOVCXOIC	6.5384755	0
NOVTWVXW	16.558478	0
NOVN5SIW	6.2934957	0
NOVFQMEO	4.050344	0
NOVD32R8	4.050344	0
NOV3ZL58	4.7710819	5.438294
NOVDMJQ3	7.232974	0
NOVY6TG1	7.232974	0
NOVKS0DS	4.56679	0
NOVKFOMU	3.2371716	0
NOVMS86L	1.8540746	0
NOVG3WPC	6.519304	0
NOV93X35	6.0536394	0
NOVY31J5	4.2750974	0
NOVEWOFA	3.809081	0
NOV7D2W7	9.0734253	0
NOVPVV05	6.0577292	0
NOVIOXEL	3.0869632	0
NOVVATPA	5.231914	0
NOV0ESWU	6.7657862	0
NOVSDDYR	2.6504228	0
NOVJ9KG8	2.6574254	0
NOVH1GTA	2.1747794	0
NOVK7G9I	3.2754478	0
NOV3ZS8W	4.3791475	0
NOVOFLT0	4.3791475	0
NOV5RFCY	5.53417	0
NOVYV9PC	5.549437	0
NOV7STRN	7.024883	0
NOV6T1LJ	4.4846168	0
NOVHICCH	2.642589	0
NOVEY0KF	7.413193	0
NOVMA9PC	4.057152	0
NOVDGM4T	4.057152	0
NOVIA97G	4.1909814	0
NOV82O03	1.4317942	0
NOVHISR6	2.868693	0
NOV8XXHS	2.8738155	0
NOVYNG9X	2.889294	0
NOV8MV54	1.4472452	0
NOV4IZ27	1.4498528	0
NOVT2S0B	1.4498528	0
NOVUK8KQ	2.9260669	0
NOV92JZY	2.9260669	0
NOV2A34P	2.9802532	0
NOV7MHXP	2.23519	0
NOV2C9AK	3.774242	0
NOV64ELI	3.774242	0
NOVDL4KR	12.5913969	0
NOVBTDCM	3.149387	0
NOVDK5BQ	3.149387	0
NOVMDVKJ	1.5777812	0
NOVP1RGL	1.5808809	0
NOVJX7NZ	3.9599822	0
NOV6YQRD	2.3806758	0
NOVTJ7XU	1.5902537	0
NOVYCFZT	1.5902537	0
NOVUUF24	4.789693	0
NOVAAQ57	1.5997384	0
