baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R16W0	R8W7	R16W7	R8W0	R10W7	R6W0	R6W7	R10W0	R3W0	R9W7	R3W7	R9W0	R19W7	R21W0	R21W7	R19W0	Significant	tax[rownames(res), ]	Phylum	KO
1.48184393487074	1.5867641737893	2.97349938727129	0.53363527854816	0.593593895402434	0.84655442959671	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	4	No	NOVJ8GWY	NOVJ8GWY	NOVJ8GWY
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVB57NM	NOVB57NM	NOVB57NM
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV4PL7R	NOV4PL7R	NOV4PL7R
0.980921001251534	3.35439600562243	2.99826969080509	1.11877727874497	0.263235167241781	0.84655442959671	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	No	NOV33C3K	NOV33C3K	NOV33C3K
1.06824213837117	-3.54314996034823	2.99567610019109	-1.18275469104361	0.236906382121395	0.84655442959671	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	No	NOV9FSNG	NOV9FSNG	NOV9FSNG
2.62860234229285	-2.45093619211561	2.95432578828223	-0.829609314530166	0.406759708721232	0.84655442959671	0	0	0	0	5	0	0	31	0	0	0	0	0	0	0	13	No	NOVP70EW	NOVP70EW	NOVP70EW
1.06820325079986	-3.54309914798791	2.9956769121017	-1.18273740858862	0.236913233544359	0.84655442959671	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	11	No	NOVPNQJD	NOVPNQJD	NOVPNQJD
1.7886252510014	-0.241589004896991	2.94123812400974	-0.0821385398634902	0.934536546272654	0.980316613043128	0	0	0	0	10	0	0	0	0	0	0	0	0	10	0	0	No	NOVR90GQ	NOVR90GQ	NOVR90GQ
0	0	0	0	1	NA	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	No	NOVUWNNE	NOVUWNNE	NOVUWNNE
1.11038053697361	1.7722443989366	2.98689913634635	0.593339218378984	0.552954157335508	0.84655442959671	0	0	0	0	11	4	0	0	0	0	0	0	0	0	0	0	No	NOVHU58J	NOVHU58J	NOVHU58J
5.87937918905262	-2.52874629747985	2.46395769116139	-1.02629452873759	0.304752775449389	0.84655442959671	0	0	0	33	4	0	0	23	0	0	0	0	0	15	5	17	No	NOVCPVD2	NOVCPVD2	NOVCPVD2
