baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R30W7	R8W7	R14W7	R2W7	R16W7	R10W7	R4W7	R18W7	R6W7	R12W7	R20W6	R1W7	R9W7	R3W7	R17W7	R19W7	R23W7	R11W7	R21W7	R7W7	R29W7	Significant	tax[rownames(res), ]	Phylum	KO
0	0	0	0	1	NA	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVX6ZVY	NOVX6ZVY	NOVX6ZVY
0.847173875028619	3.02471536746568	3.0765606874373	0.983148286271965	0.32553446226828	0.847429605334513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	46	No	NOVKMEC2	NOVKMEC2	NOVKMEC2
1.49711928631611	0.995304425674973	3.03321603592668	0.328135026943735	0.742809571187614	0.847429605334513	0	0	0	22	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	No	NOVDNGQ3	NOVDNGQ3	NOVDNGQ3
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	No	NOVP75FI	NOVP75FI	NOVP75FI
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV86T3H	NOV86T3H	NOV86T3H
7.08555139250182	3.8478134530553	2.04229733865834	1.88406133632974	0.0595566792890061	0.847429605334513	28	0	15	0	0	5	9	58	0	0	15	4	0	0	13	0	0	0	0	0	2	No	NOVGEOY0	NOVGEOY0	NOVGEOY0
0.577487992164659	2.48460064069363	3.08608089190997	0.805099000226114	0.420762552697269	0.847429605334513	0	0	11	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	No	NOVC80VS	NOVC80VS	NOVC80VS
7.36284202062697	1.77330238689262	2.25289197028611	0.787122689539087	0.431210048316453	0.847429605334513	0	0	8	8	0	19	0	0	0	8	15	0	0	0	14	0	0	3	0	0	54	No	NOVFX35N	NOVFX35N	NOVFX35N
7.89757533876207	1.80390847656865	2.40485120896483	0.750112302101694	0.453187070869145	0.847429605334513	0	0	15	9	0	20	14	0	0	0	13	0	0	0	14	0	0	0	0	0	54	No	NOVECVLF	NOVECVLF	NOVECVLF
8.66178744409496	1.23577972320893	2.24703553883027	0.549960025933653	0.582346791598915	0.847429605334513	0	17	15	8	0	23	10	0	0	0	22	0	0	0	14	0	0	0	0	0	54	No	NOVUI4XJ	NOVUI4XJ	NOVUI4XJ
0.932323976960718	3.17887507057585	3.07443012669808	1.03397213128078	0.301149191872484	0.847429605334513	0	0	0	0	0	13	10	0	0	0	9	0	0	0	0	0	0	0	0	0	54	No	NOVATAG9	NOVATAG9	NOVATAG9
0.262494541893027	1.38130766119395	3.10651598630235	0.444648496027251	0.656573795043765	0.847429605334513	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVE3MI7	NOVE3MI7	NOVE3MI7
9.03729865317844	2.47063467565216	2.22504408200816	1.11037560811934	0.26683720455557	0.847429605334513	0	0	15	9	0	8	24	0	0	0	19	0	0	0	19	7	0	0	0	0	59	No	NOVN7N95	NOVN7N95	NOVN7N95
0.65369371536096	-3.10685476503528	3.04925844591242	-1.01888863149664	0.308255841463992	0.847429605334513	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVTFP7R	NOVTFP7R	NOVTFP7R
6.92062904494765	1.57557751868973	2.59714383388362	0.606657782343038	0.544078044959236	0.847429605334513	0	0	0	0	0	20	20	0	0	0	12	0	0	0	12	0	0	6	0	0	51	No	NOVM2OA6	NOVM2OA6	NOVM2OA6
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVLFUN1	NOVLFUN1	NOVLFUN1
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV3LZJC	NOV3LZJC	NOV3LZJC
0.614318817825508	-1.49150197487693	3.06545389524617	-0.486551755741594	0.626576019518458	0.847429605334513	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	No	NOVMU0RN	NOVMU0RN	NOVMU0RN
0.46515871977098	2.18509056277282	3.09263582128667	0.706546353674364	0.479848436980374	0.847429605334513	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	No	NOVTBYRT	NOVTBYRT	NOVTBYRT
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVUQ8FJ	NOVUQ8FJ	NOVUQ8FJ
0.485187821173304	-2.64959213980411	3.05849015958677	-0.866307230546101	0.386321702175656	0.847429605334513	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	6	0	0	No	NOVV33NJ	NOVV33NJ	NOVV33NJ
1.7501449302575	0.992057113530527	3.02436460064783	0.328021665548534	0.742895281388548	0.847429605334513	0	0	13	0	0	7	0	0	0	0	0	0	0	0	10	0	0	0	0	0	50	No	NOVW7ZZA	NOVW7ZZA	NOVW7ZZA
5.33093336334274	5.69143715050878	2.67298661999829	2.1292426635912	0.0332341888013688	0.847429605334513	0	0	9	0	0	0	22	0	0	0	9	0	0	0	5	0	0	0	0	0	50	Yes	NOVIWC9W	NOVIWC9W	NOVIWC9W
