baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R2W0	R30W7	R14W7	R14W0	R2W7	R30W0	R20W0	R4W7	R18W7	R12W0	R18W0	R12W7	R4W0	R20W6	R1W7	R17W0	R17W7	R1W0	R7W0	R29W0	R23W7	R11W7	R11W0	R7W7	R29W7	R23W0	Significant	tax[rownames(res), ]	Phylum	KO
4.94714214582467	1.76062445896508	2.53043455757524	0.695779487240396	0.48656693732699	0.921601248521495	0	0	0	0	12	0	0	8	0	0	0	0	13	0	0	0	10	0	0	0	0	0	14	0	50	0	No	NOVUR6DS	NOVUR6DS	NOVUR6DS
6.201494260671	1.35406915191685	2.37394755630454	0.570387137795364	0.568415151390235	0.921601248521495	0	0	13	0	0	0	6	0	0	0	0	0	16	12	0	0	15	0	0	0	0	0	20	0	54	0	No	NOVJ8GWY	NOVJ8GWY	NOVJ8GWY
5.11074194281191	4.19440413773978	2.43680671092664	1.72127075936392	0.0852017029407947	0.921601248521495	0	0	19	0	5	0	6	0	0	0	0	8	0	0	0	0	16	0	0	0	0	0	0	0	54	0	No	NOVB57NM	NOVB57NM	NOVB57NM
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	No	NOV4PL7R	NOV4PL7R	NOV4PL7R
1.34824380504053	2.02181833761687	2.91833702294983	0.692798097586835	0.488436266266163	0.921601248521495	0	0	0	0	3	0	6	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	54	0	No	NOV33C3K	NOV33C3K	NOV33C3K
5.9314865538951	1.63102507035235	2.37070491330953	0.687991601652108	0.491458070079062	0.921601248521495	0	0	12	0	0	0	18	12	0	0	0	0	13	5	0	0	9	0	0	0	0	0	0	0	57	0	No	NOV9FSNG	NOV9FSNG	NOV9FSNG
5.42900388179435	3.47276011025488	2.13529979924262	1.62635715672649	0.103873699304259	0.921601248521495	0	19	13	0	3	0	0	17	0	0	0	0	9	9	0	0	4	0	0	0	0	0	0	0	51	0	No	NOVP70EW	NOVP70EW	NOVP70EW
5.92313923660515	1.74315554381429	2.357674899114	0.739353650696011	0.459692279014164	0.921601248521495	0	0	0	0	7	0	0	14	0	0	0	0	15	15	0	0	12	0	0	0	0	0	18	0	51	0	No	NOVPNQJD	NOVPNQJD	NOVPNQJD
3.98762691842042	5.52932853831556	2.54067591167339	2.17632186494567	0.0295312017182423	0.921601248521495	0	11	0	0	4	0	0	0	0	0	0	0	0	17	0	0	5	0	0	0	0	0	0	0	53	0	Yes	NOVR90GQ	NOVR90GQ	NOVR90GQ
7.64904217069784	0.878261524547866	2.08863486317658	0.420495482495264	0.674123528850459	0.921601248521495	0	15	0	0	5	0	0	9	0	0	0	6	0	18	0	0	0	0	0	63	0	10	43	0	53	0	No	NOVUWNNE	NOVUWNNE	NOVUWNNE
1.21661158145237	3.81671395950816	2.95251418500905	1.29269961813798	0.196114969903543	0.921601248521495	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	28	0	48	0	No	NOVHU58J	NOVHU58J	NOVHU58J
6.17432389153942	6.16135899816533	2.49550837425903	2.46897949200221	0.0135498983675829	0.921601248521495	0	0	19	0	0	0	0	0	72	0	0	7	0	46	0	0	13	0	0	0	0	0	0	0	0	0	Yes	NOVCPVD2	NOVCPVD2	NOVCPVD2
1.59449711107377	2.2700980095837	2.94087655817427	0.771912035299095	0.440166528606067	0.921601248521495	0	0	0	0	0	8	0	16	0	0	0	7	21	0	0	0	8	0	0	0	0	0	0	0	0	0	No	NOVOY886	NOVOY886	NOVOY886
5.41751000375159	2.62171173839419	2.49677751885372	1.05003818666143	0.29370055624082	0.921601248521495	0	0	10	0	0	0	0	19	0	0	0	0	15	11	0	0	11	0	0	0	0	0	0	0	50	0	No	NOVZVCHO	NOVZVCHO	NOVZVCHO
9.75733065539552	1.83192085594922	2.20143516118022	0.832148449453809	0.405325157377775	0.921601248521495	0	0	0	0	0	0	18	0	58	0	11	21	0	47	0	0	19	0	0	45	0	0	0	0	38	0	No	NOVM9FE3	NOVM9FE3	NOVM9FE3
6.75392068289983	2.62024126732901	2.32854407263964	1.12527020558331	0.260474551170928	0.921601248521495	0	0	8	0	0	0	16	0	66	0	6	11	0	45	0	0	17	0	0	0	0	0	0	0	0	0	No	NOVRXOLO	NOVRXOLO	NOVRXOLO
1.94937617735397	4.49932389939026	2.94792684056602	1.52626715068898	0.126943346022865	0.921601248521495	0	0	7	0	0	0	0	0	66	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV63C2K	NOV63C2K	NOV63C2K
2.28361390292718	4.72743537835381	2.94681647901542	1.60425171096278	0.108658580499957	0.921601248521495	0	0	0	0	0	0	19	0	66	0	0	16	0	45	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVIZ61Q	NOVIZ61Q	NOVIZ61Q
6.0155643753882	3.91187640343551	2.74363148575508	1.42580241688651	0.153925383087243	0.921601248521495	0	0	19	0	0	0	0	34	0	0	0	0	0	0	0	0	15	0	0	0	0	0	11	0	54	0	No	NOV8INN2	NOV8INN2	NOV8INN2
9.57864544554895	2.09615371678554	2.22239039753431	0.943197792391099	0.345579742375587	0.921601248521495	0	0	12	0	9	0	0	0	0	0	0	7	18	14	0	0	13	0	0	0	0	0	27	0	109	0	No	NOVC6G3V	NOVC6G3V	NOVC6G3V
1.31600689263942	-1.35155893663067	2.93924393882925	-0.459832176151062	0.645636685849946	0.921601248521495	0	0	0	0	0	12	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	17	0	0	0	No	NOVCBNMS	NOVCBNMS	NOVCBNMS
5.28396427272481	1.96817301894581	2.19827785428179	0.895324954082676	0.370613404489428	0.921601248521495	0	0	14	0	5	0	5	13	0	0	0	0	9	8	0	0	0	0	0	0	0	0	12	0	52	0	No	NOVYF8RN	NOVYF8RN	NOVYF8RN
0.242678779861461	1.61240402694118	2.99070615406613	0.539138231534038	0.589791477221292	0.921601248521495	0	0	0	0	0	0	31	6	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVVBVPA	NOVVBVPA	NOVVBVPA
3.95041512672664	4.49911081703933	2.60673741132408	1.72595474998536	0.0843555537373779	0.921601248521495	0	0	0	0	0	0	4	0	0	0	0	15	0	9	0	0	9	0	0	0	0	0	0	0	48	0	No	NOVWXRGR	NOVWXRGR	NOVWXRGR
0.470931526871814	2.44699720812119	2.97168378130298	0.823437952421797	0.410258988125636	0.921601248521495	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVKWPBF	NOVKWPBF	NOVKWPBF
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV4MW6N	NOV4MW6N	NOV4MW6N
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	20	0	0	0	No	NOVBRG1L	NOVBRG1L	NOVBRG1L
0.366911640421886	-1.9351883594936	2.97540716410875	-0.650394467969652	0.515437449780071	0.921601248521495	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	No	NOVPKHNS	NOVPKHNS	NOVPKHNS
2.84097560787246	1.51643734147679	2.72473783592309	0.556544310973336	0.577838811560341	0.921601248521495	0	0	14	0	0	0	0	23	0	0	0	9	0	0	0	0	0	0	0	0	0	5	22	0	0	0	No	NOVKQ25L	NOVKQ25L	NOVKQ25L
2.42519020819607	4.81369858519038	2.94644012775037	1.63373371814132	0.102314775152107	0.921601248521495	0	0	4	0	0	0	22	0	68	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	7	0	No	NOV5KJLG	NOV5KJLG	NOV5KJLG
11.8523931826525	0.663228866300754	1.73891732765176	0.381403333990799	0.702903987488237	0.921601248521495	0	9	24	57	8	0	15	22	0	0	0	0	15	39	0	0	8	0	0	74	0	0	20	0	59	0	No	NOVIEGWN	NOVIEGWN	NOVIEGWN
1.17207465704948	-0.616815206569615	2.93732467133771	-0.209992178456972	0.833673777627403	0.921601248521495	0	0	0	0	0	0	0	0	9	0	31	3	14	0	0	0	0	0	0	0	47	0	0	0	0	0	No	NOVOJLWW	NOVOJLWW	NOVOJLWW
2.78387750008463	0.0735157982511292	2.54469247772419	0.0288898556091449	0.976952436297595	0.984510426891219	0	20	0	0	0	0	0	0	14	0	7	0	13	9	0	7	0	0	0	0	47	0	0	0	0	0	No	NOVU2BGV	NOVU2BGV	NOVU2BGV
2.70061015650605	-1.08918717286517	2.73806700333923	-0.397794199899725	0.690781893031977	0.921601248521495	0	0	0	0	0	0	0	0	14	0	10	0	13	9	0	13	0	0	0	0	47	0	0	0	0	0	No	NOVA6YCW	NOVA6YCW	NOVA6YCW
5.52723934549309	1.88800289409176	2.3556525712798	0.801477652991088	0.422855176123428	0.921601248521495	0	0	9	0	0	0	0	5	0	0	0	0	10	18	0	0	11	0	0	0	0	0	20	0	51	0	No	NOVR8OV5	NOVR8OV5	NOVR8OV5
8.32350852232206	2.55735622456927	2.0358523509813	1.25615996824947	0.209057977478098	0.921601248521495	0	29	13	0	0	8	19	0	64	0	3	14	0	50	0	0	18	0	0	0	0	0	0	0	0	0	No	NOV2L9JY	NOV2L9JY	NOV2L9JY
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	No	NOVDQA3B	NOVDQA3B	NOVDQA3B
1.85932248615824	2.3682157527874	2.93649087767636	0.806478157582894	0.419967197357356	0.921601248521495	0	0	11	0	0	9	0	0	0	0	0	13	0	16	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV4US4J	NOV4US4J	NOV4US4J
2.70606333662251	4.97123134641314	2.94580815142203	1.68756113462901	0.0914955051608832	0.921601248521495	0	0	0	0	0	0	17	0	68	0	0	0	0	54	0	0	14	0	0	0	0	0	0	0	0	0	No	NOVR348G	NOVR348G	NOVR348G
