baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R2W0	R16W0	R14W0	R30W0	R8W0	R20W0	R6W0	R12W0	R18W0	R10W0	R4W0	R3W0	R17W0	R9W0	R1W0	R7W0	R29W0	R21W0	R11W0	R19W0	R23W0	Significant	tax[rownames(res), ]	Phylum	KO
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVDDE3F	NOVDDE3F	NOVDDE3F
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV3CYLB	NOV3CYLB	NOV3CYLB
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVR9A5D	NOVR9A5D	NOVR9A5D
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVN9B5W	NOVN9B5W	NOVN9B5W
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVMIDBF	NOVMIDBF	NOVMIDBF
0.386482414225815	1.18147737596234	3.10577456638327	0.380413114573926	0.703638781075812	0.882591653033311	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	No	NOVLZRDX	NOVLZRDX	NOVLZRDX
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV35V1N	NOV35V1N	NOV35V1N
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVIHX0Y	NOVIHX0Y	NOVIHX0Y
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVI23OZ	NOVI23OZ	NOVI23OZ
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV4T68T	NOV4T68T	NOV4T68T
0.361077892786665	-2.34953028843424	3.07476411848421	-0.764133506798079	0.444787686529892	0.882591653033311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	No	NOVZGUGZ	NOVZGUGZ	NOVZGUGZ
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVM9OH5	NOVM9OH5	NOVM9OH5
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVNHQJT	NOVNHQJT	NOVNHQJT
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVUFAWO	NOVUFAWO	NOVUFAWO
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVCOHUG	NOVCOHUG	NOVCOHUG
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV91TXI	NOV91TXI	NOV91TXI
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVVSAYL	NOVVSAYL	NOVVSAYL
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVLH028	NOVLH028	NOVLH028
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVLSSNX	NOVLSSNX	NOVLSSNX
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVCDBMV	NOVCDBMV	NOVCDBMV
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	No	NOVXAIRH	NOVXAIRH	NOVXAIRH
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	No	NOVN6494	NOVN6494	NOVN6494
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV9BI3W	NOV9BI3W	NOV9BI3W
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	No	NOVE71V9	NOVE71V9	NOVE71V9
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV0RZ0H	NOV0RZ0H	NOV0RZ0H
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVK3IGB	NOVK3IGB	NOVK3IGB
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVGM370	NOVGM370	NOVGM370
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV716AD	NOV716AD	NOV716AD
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV3VDAQ	NOV3VDAQ	NOV3VDAQ
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVCDZKG	NOVCDZKG	NOVCDZKG
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVWHYU2	NOVWHYU2	NOVWHYU2
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVHGKYA	NOVHGKYA	NOVHGKYA
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVLEC0Y	NOVLEC0Y	NOVLEC0Y
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	No	NOVM9ICN	NOVM9ICN	NOVM9ICN
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVYFX89	NOVYFX89	NOVYFX89
0.417106876493106	-2.56484712194398	3.06784956435305	-0.836040708040668	0.403132002315301	0.882591653033311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	No	NOVPKJZH	NOVPKJZH	NOVPKJZH
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVXQUIZ	NOVXQUIZ	NOVXQUIZ
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV2CCHT	NOV2CCHT	NOV2CCHT
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV3JW2C	NOV3JW2C	NOV3JW2C
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVBFTQ5	NOVBFTQ5	NOVBFTQ5
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVJP2WK	NOVJP2WK	NOVJP2WK
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVI58PF	NOVI58PF	NOVI58PF
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVVJ4G7	NOVVJ4G7	NOVVJ4G7
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVGDQIL	NOVGDQIL	NOVGDQIL
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV3CPG5	NOV3CPG5	NOV3CPG5
0.18706532913728	0.66307301778963	3.10791497547663	0.213349793357182	0.831054137987437	0.882591653033311	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	No	NOV4II95	NOV4II95	NOV4II95
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVSQ9QN	NOVSQ9QN	NOVSQ9QN
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVR2XWD	NOVR2XWD	NOVR2XWD
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVLI89E	NOVLI89E	NOVLI89E
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	No	NOVJY9GV	NOVJY9GV	NOVJY9GV
